source,target,weight
0,4,0.002105263157894737
0,12,0.002105263157894737
0,18,0.002105263157894737
0,25,0.004210526315789474
0,46,0.00631578947368421
0,55,0.002105263157894737
0,74,0.002105263157894737
0,76,0.004210526315789474
0,77,0.002105263157894737
0,86,0.002105263157894737
0,87,0.00631578947368421
4,0,0.0036496350364963502
4,12,0.0018248175182481751
4,14,0.0018248175182481751
4,24,0.0036496350364963502
4,25,0.0018248175182481751
4,27,0.0018248175182481751
4,46,0.009124087591240875
4,55,0.0036496350364963502
4,79,0.0018248175182481751
4,88,0.009124087591240875
4,89,0.0018248175182481751
12,11,0.0013531799729364006
12,13,0.0013531799729364006
12,32,0.017591339648173207
12,46,0.0013531799729364006
12,55,0.0013531799729364006
12,74,0.0013531799729364006
12,89,0.009472259810554804
12,91,0.0013531799729364006
18,0,0.002347417840375587
18,2,0.002347417840375587
18,9,0.002347417840375587
18,14,0.002347417840375587
18,28,0.002347417840375587
18,46,0.004694835680751174
18,50,0.004694835680751174
18,54,0.014084507042253521
18,55,0.002347417840375587
18,68,0.07746478873239436
18,79,0.007042253521126761
25,4,0.001466275659824047
25,18,0.001466275659824047
25,24,0.017595307917888565
25,27,0.010263929618768328
25,32,0.001466275659824047
25,48,0.001466275659824047
25,53,0.001466275659824047
25,54,0.001466275659824047
25,55,0.002932551319648094
25,61,0.011730205278592375
25,71,0.001466275659824047
25,74,0.002932551319648094
25,75,0.001466275659824047
25,77,0.001466275659824047
25,80,0.002932551319648094
25,87,0.001466275659824047
25,89,0.002932551319648094
46,0,0.010238907849829351
46,4,0.0034129692832764505
46,9,0.0034129692832764505
46,11,0.0034129692832764505
46,12,0.006825938566552901
46,18,0.0034129692832764505
46,20,0.0034129692832764505
46,24,0.006825938566552901
46,25,0.0034129692832764505
46,26,0.010238907849829351
46,28,0.0034129692832764505
46,32,0.0034129692832764505
46,36,0.006825938566552901
46,38,0.0034129692832764505
46,50,0.0034129692832764505
46,54,0.0034129692832764505
46,70,0.006825938566552901
46,76,0.03754266211604096
46,77,0.0034129692832764505
46,80,0.010238907849829351
46,87,0.0034129692832764505
46,89,0.006825938566552901
55,4,0.0012987012987012987
55,9,0.0025974025974025974
55,13,0.0025974025974025974
55,14,0.0012987012987012987
55,18,0.0012987012987012987
55,25,0.0012987012987012987
55,27,0.0012987012987012987
55,53,0.005194805194805195
55,61,0.0012987012987012987
55,68,0.003896103896103896
55,79,0.0012987012987012987
55,88,0.016883116883116882
74,0,0.0014124293785310734
74,11,0.0014124293785310734
74,12,0.002824858757062147
74,14,0.0014124293785310734
74,18,0.0014124293785310734
74,24,0.0014124293785310734
74,25,0.0014124293785310734
74,26,0.0014124293785310734
74,27,0.002824858757062147
